SITE_ID,TOWER_TX,TOWER_RX,BANDWIDTH,
33951,866.8375,821.8375,25, 
33951,867.8375,822.8375,25, 
33951,868.8375,823.8375,25, 
33985,846.6,,400,
33988,849.5,804.5,200,
33988,850.3,805.3,200,
33990,865.8125,820.8125,25, 
33990,866.8125,821.8125,25, 
33990,867.8125,822.8125,25, 
34025,860.9125,,25, 
34025,865.7625,820.7625,25, 
34025,866.7625,821.7625,25, 
34025,867.7625,822.7625,25, 
34025,868.7625,823.7625,25, 
34078,860.9125,,25,
34100,860.9125,,25, 
34100,928.3375,852.3375,25,
34100,928.5375,852.5375,25, 
34104,860.9125,,25, 
34107,865.2375,820.2375,25, 
34107,865.7375,820.7375,25, 
34107,866.2375,821.2375,25, 
34107,867.2375,822.2375,25, 
34107,868.2375,823.2375,25, 
34107,869.2375,824.2375,25, 
34186,860.9125,,25, 
34186,928.3875,852.3875,25,
34186,849.4125,804.4125,25,
34186,845.2,,200,
34186,845.6,,200,
34186,846,,200,
34186,848,,200,
34186,848.4,,200,
34186,848.8,,200,
34203,857.0625,,25,
34203,857.0625,,25, 
34203,860.9125,,25, 
34203,852.0125,928.0125,25,
34203,852.3375,928.3375,25,
34203,852.3875,928.3875,25,
34203,852.4125,928.4125,25,
34203,852.5375,928.5375,25, 
34203,865.5125,820.5125,25, 
34203,866.5125,821.5125,25, 
34203,867.5125,822.5125,25, 
34203,868.5125,823.5125,25, 
34203,869.5125,824.5125,25, 
34258,866.2625,821.2625,25, 
34258,867.2625,822.2625,25, 
34258,868.2625,823.2625,25, 
34259,857.0625,,25,
34259,860.9375,,25,
34259,928.2125,852.2125,25,
34259,928.3125,852.3125,25,
34259,928.4125,852.4125,25,
34259,928.6625,852.6625,25,
34259,928.7125,852.7125,25,
34261,865.4875,820.4875,25, 
34261,866.4875,821.4875,25, 
34261,867.4875,822.4875,25, 
34261,868.5375,823.5375,25, 
34261,869.5375,824.5375,25, 
34262,865.1125,820.1125,25, 
34262,866.0125,821.0125,25, 
34262,866.1125,821.1125,25, 
34262,867.0125,822.0125,25, 
34262,867.1125,822.1125,25, 
34262,868.0125,823.0125,25, 
34262,868.1125,823.1125,25, 
34262,869.1125,824.1125,25, 
34263,857.0625,,25, 
34263,858.0875,,25, 
34263,928.0125,852.0125,25,
34263,928.3625,852.3625,25, 
34263,928.4625,852.4625,25, 
34263,849.5625,804.5625,25,
34263,846.4,,200,
34263,846.6,,200,
34263,848.2,,200,
34263,848.6,,200,
34264,852.6625,928.6625,25,
34270,865.4625,820.4625,25, 
34270,866.4625,821.4625,25, 
34270,867.4625,822.4625,25, 
34270,868.4625,823.4625,25, 
34321,865.1625,820.1625,25, 
34321,866.1625,821.1625,25, 
34321,867.1625,822.1625,25, 
34321,868.1625,823.1625,25, 
34321,869.1625,824.1625,25, 
34363,852.3125,928.3125,25,
34369,858.0875,,25, 
34369,852.3625,928.3625,25, 
34400,846.6,,400, 
34400,846.2,,200,
34400,847.2,,200,
34448,930.5,854.5,200, 
34452,852.2125,928.2125,25,
34627,865.5625,820.5625,25, 
34627,866.5625,821.5625,25, 
34627,867.5625,822.5625,25, 
34627,868.5625,823.5625,25, 
49597,869.4,824.4,200, 
53932,867.1625,822.1625,25, 
53932,868.1625,823.1625,25, 
53932,869.1625,824.1625,25, 
53932,854.5,930.5,200, 
100994,848.8,,250,
101147,865.4625,820.4625,25, 
101147,865.9625,820.9625,25, 
101147,866.9625,821.9625,25, 
101147,867.9625,822.9625,25, 
101147,868.9625,823.9625,25, 
101147,869.9625,824.9625,25, 
130231,845.2,,200,
130231,845.6,,200,
130231,846,,200,
130231,848.2,,200,
130231,848.6,,200,
130232,846.8,,200,
130232,847.2,,200,
130232,847.6,,200,
130232,848,,200,
130232,848.4,,200,
130232,848.8,,200,
137575,847.8,,240,
137575,848.6,,240, 
137617,845.2,,200,
137617,845.6,,200,
137617,846,,200,
138208,852.0375,928.0375,25,
138403,847.4,,200, 
139063,860.9125,,25,
139063,857.0625,,25, 
139063,852.0625,928.0625,25,
139063,852.0875,928.0875,25,
139063,852.1375,928.1375,25,
139063,852.2375,928.2375,25, 
139063,852.2875,928.2875,25, 
139063,855.5,931.5,200, 
139603,847.8,,240,
140408,848.6,,200,
140409,848.6,,200,
150529,846.8,,200,
150529,847.2,,200,
150529,847.6,,200,
152342,860.9125,,25, 
152342,865.5375,820.5375,25, 
152342,866.5375,821.5375,25, 
152342,867.5375,822.5375,25, 
152342,868.5375,823.5375,25, 
152342,869.5375,824.5375,25, 
152342,928.2875,852.2875,25, 
152342,856.1,932.1,200, 
152971,846.4,,200,
152971,846.6,,200,
153394,847.4,,400, 
204741,928.7375,852.7375,25,
204741,928.8375,852.8375,25,
204742,852.7375,928.7375,25,
204742,852.8375,928.8375,25,
204744,852.7375,928.7375,25,
204744,852.8375,928.8375,25,
204747,852.2875,928.2875,25,
204747,852.3625,928.3625,25,
204747,852.4625,928.4625,25,
205672,928.2875,852.2875,25,
205672,928.3625,852.3625,25,
205672,928.4625,852.4625,25,
205672,928.7375,852.7375,25,
205672,928.8375,852.8375,25,
305137,847,,400, 
305138,847,,400, 
305421,860.9375,,25,
305421,865.0375,820.0375,25, 
305421,866.0375,821.0375,25, 
305421,867.0375,822.0375,25, 
305421,868.0375,823.0375,25, 
305555,852.2375,,25, 
305682,847,,325,
305962,846.6,,400, 
306046,850.1,805.1,200,
402275,865.3375,820.3375,25, 
402275,866.3375,821.3375,25, 
402275,867.3375,822.3375,25, 
402275,868.3375,823.3375,25, 
402276,865.1625,820.1625,25, 
402276,866.1625,821.1625,25, 
402276,867.1625,822.1625,25, 
402277,865.0125,820.0125,25, 
402277,866.0125,821.0125,25, 
402277,867.0125,822.0125,25, 
402277,868.0125,823.0125,25, 
402277,856.7,932.7,200, 
402278,867.3625,822.3625,25, 
402278,868.3625,823.3625,25, 
402278,869.1125,824.1125,25, 
404122,852.7125,928.7125,25,
404801,865.2875,820.2875,25, 
404801,866.2875,821.2875,25, 
404801,867.2875,822.2875,25, 
404801,868.2875,823.2875,25, 
404801,869.2875,824.2875,25, 
